ID,RIO,COORD- X,COORD- Y,PUNTO,AÑOS,Nivel 10,Nivel 9,Nivel 8,Nivel 7,Nivel 6,Nivel 5,Nivel 4,Nivel 3,Nivel 2,Nivel 1,RIQUEZA ABSOLUTA,DIVERSIDAD SEGÚN SHANNON,CALIDAD DEL AGUA SEGÚN SHANNON,,ÍNDICE BMWP/Col,ÍNDICE BMWP/Col.1,Clasificar
33,RIO HUASAGA,-2.63919923,-77.15375553,P3,01/08/2019,0,8,9,7,0,6,0,2,0,0,32,1.52,Contaminación moderada,,32,Aguas muy contaminadas,4
34,RIO HUASAGA,-2.575119785,-77.17003232,P4,01/08/2019,0,9,8,7,2,5,0,0,0,0,31,1.67,Contaminación moderada,,42,Aguas moderadamente contaminadas,3
35,RIO HUASAGA,-2.524143278,-77.18293496,P5,01/08/2019,9,9,13,3,3,1,0,0,0,0,38,1.82,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
36,RIO CHAPIZA,-2.880025048,-77.89806561,P1,01/10/2019,21,0,0,13,0,3,0,0,0,0,37,1.93,Contaminación moderada,,66,Aguas ligeramente contaminadas,2
37,RIO CHAPIZA,-2.806998637,-77.89395636,P2,01/10/2019,10,3,6,4,0,8,0,2,0,0,33,1.81,Contaminación moderada,,52,Aguas moderadamente contaminadas,3
38,RIO CHAPIZA,-2.765864358,-77.89432128,P3,01/10/2019,6,9,3,8,5,0,9,0,2,0,42,1.84,Contaminación moderada,,46,Aguas moderadamente contaminadas,3
39,RIO CHAPIZA,-2.714931297,-77.90954739,P4,01/10/2019,0,5,9,5,1,0,2,0,0,0,22,1.55,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
40,RIO CHAPIZA,-2.693626541,-77.96585626,P5,01/10/2019,1,9,15,11,0,0,0,0,0,0,36,1.95,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
41,RIO HUASAGA,-2.717752305,-77.0210032,P1,05/09/2019,18,8,1,1,2,3,0,0,0,0,33,1.83,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
42,RIO HUASAGA,-2.671703638,-77.08952686,P2,05/09/2019,0,6,3,9,8,2,3,0,0,0,31,1.66,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
43,RIO HUASAGA,-2.63919923,-77.15375553,P3,05/09/2019,9,9,0,5,3,0,1,0,3,0,30,1.79,Contaminación moderada,,48,Aguas moderadamente contaminadas,3
44,RIO HUASAGA,-2.575119785,-77.17003232,P4,05/09/2019,12,7,12,12,0,0,0,0,0,0,43,1.71,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
45,RIO HUASAGA,-2.524143278,-77.18293496,P5,05/09/2019,4,14,0,4,9,0,1,0,2,0,34,1.83,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
46,RIO CHAPIZA,-2.880025048,-77.89806561,P1,05/11/2019,16,8,9,16,0,1,3,0,0,0,53,2.26,Contaminación moderada,,85,Aguas ligeramente contaminadas,2
47,RIO CHAPIZA,-2.806998637,-77.89395636,P2,05/11/2019,9,9,8,4,3,0,0,0,0,0,33,1.86,Contaminación moderada,,58,Aguas moderadamente contaminadas,3
48,RIO CHAPIZA,-2.765864358,-77.89432128,P3,05/11/2019,8,13,8,8,0,0,0,0,0,0,37,1.86,Contaminación moderada,,70,Aguas ligeramente contaminadas,2
49,RIO CHAPIZA,-2.714931297,-77.90954739,P4,05/11/2019,7,9,15,0,0,0,0,0,0,0,31,1.38,Contaminación moderada,,45,Aguas moderadamente contaminadas,3
50,RIO CHAPIZA,-2.693626541,-77.96585626,P5,05/11/2019,12,6,4,6,0,8,0,0,0,0,36,1.73,Contaminación moderada,,49,Aguas moderadamente contaminadas,3
51,RIO HUASAGA,-2.717752305,-77.0210032,P1,09/04/2019,11,9,0,11,0,0,1,0,0,0,32,1.77,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
52,RIO HUASAGA,-2.671703638,-77.08952686,P2,09/04/2019,10,6,4,3,8,0,0,0,0,0,31,1.63,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
53,RIO HUASAGA,-2.63919923,-77.15375553,P3,09/04/2019,7,2,0,3,5,6,0,4,0,0,27,1.82,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
