ID,RIO,COORD- X,COORD- Y,PUNTO,AÑOS,Nivel 10,Nivel 9,Nivel 8,Nivel 7,Nivel 6,Nivel 5,Nivel 4,Nivel 3,Nivel 2,Nivel 1,RIQUEZA ABSOLUTA,DIVERSIDAD SEGÚN SHANNON,CALIDAD DEL AGUA SEGÚN SHANNON,,ÍNDICE BMWP/Col,ÍNDICE BMWP/Col.1,Clasificar
429,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,08/10/2022,15,13,0,4,3,2,0,0,0,0,37,1.84,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
430,RIO KALAGLAS,-3.16994425,-72.55855563,P1,08/10/2022,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
431,RIO KALAGLAS,-3.220472257,-72.56086149,P2,09/10/2022,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
432,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,09/10/2022,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
433,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,05/02/2023,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
434,RIO UPANO,-2.130084284,-72.12424478,P1,05/02/2023,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
435,RIO UPANO,-2.328764298,-72.11299062,P2,05/02/2023,8,9,0,5,3,4,0,0,0,0,29,1.53,Contaminación moderada,,37,Aguas moderadamente contaminadas,3
436,RIO UPANO,-2.231774521,-72.09417639,P3,05/02/2023,7,0,9,0,0,11,0,0,0,0,27,1.19,Contaminación moderada,,33,Aguas muy contaminadas,4
437,RIO BLANCO,-2.337242044,-72.17639222,P1,05/02/2023,0,15,12,3,0,1,0,0,0,0,31,1.38,Contaminación moderada,,38,Aguas moderadamente contaminadas,3
438,RIO BLANCO,-2.357768293,-72.15378234,P2,06/02/2023,15,25,0,3,0,1,0,1,0,0,45,1.65,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
439,RIO YUQUIPA,-2.22436146,-77.8968613,P1,06/02/2023,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
440,RIO YUQUIPA,-2.235277876,-77.97472254,P2,06/02/2023,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
441,RIO YUQUIPA,-2.399194329,-72.1287497,P3,07/02/2023,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
442,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,08/02/2023,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
443,RIO KALAGLAS,-3.16994425,-72.55855563,P1,08/02/2023,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
444,RIO KALAGLAS,-3.220472257,-72.56086149,P2,09/02/2023,8,9,0,5,3,4,0,0,0,0,29,1.53,Contaminación moderada,,37,Aguas moderadamente contaminadas,3
445,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,09/02/2023,7,0,9,0,0,11,0,0,0,0,27,1.19,Contaminación moderada,,33,Aguas muy contaminadas,4
446,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,05/06/2023,0,15,12,3,0,1,0,0,0,0,31,1.38,Contaminación moderada,,38,Aguas moderadamente contaminadas,3
447,RIO UPANO,-2.130084284,-72.12424478,P1,05/06/2023,15,25,0,3,0,1,0,1,0,0,45,1.65,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
448,RIO UPANO,-2.328764298,-72.11299062,P2,05/06/2023,11,6,8,3,9,0,0,0,0,0,37,1.68,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
449,RIO UPANO,-2.231774521,-72.09417639,P3,05/06/2023,14,3,4,4,5,0,0,0,0,0,30,1.86,Contaminación moderada,,64,Aguas ligeramente contaminadas,2
450,RIO BLANCO,-2.337242044,-72.17639222,P1,05/06/2023,9,0,8,6,8,6,0,5,0,0,42,1.77,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
451,RIO BLANCO,-2.357768293,-72.15378234,P2,06/06/2023,1,6,4,14,6,0,0,0,0,0,31,1.66,Contaminación moderada,,47,Aguas moderadamente contaminadas,3
452,RIO YUQUIPA,-2.22436146,-77.8968613,P1,06/06/2023,14,9,8,13,0,5,0,0,0,0,49,1.93,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
453,RIO YUQUIPA,-2.235277876,-77.97472254,P2,06/06/2023,12,8,5,11,0,0,0,0,0,0,36,1.72,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
454,RIO YUQUIPA,-2.399194329,-72.1287497,P3,07/06/2023,0,8,9,7,0,6,0,2,0,0,32,1.52,Contaminación moderada,,32,Aguas muy contaminadas,4
455,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,08/06/2023,0,9,8,7,2,5,0,0,0,0,31,1.67,Contaminación moderada,,42,Aguas moderadamente contaminadas,3
456,RIO KALAGLAS,-3.16994425,-72.55855563,P1,08/06/2023,9,9,13,3,3,1,0,0,0,0,38,1.82,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
457,RIO KALAGLAS,-3.220472257,-72.56086149,P2,09/06/2023,21,0,0,13,0,3,0,0,0,0,37,1.93,Contaminación moderada,,66,Aguas ligeramente contaminadas,2
458,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,09/06/2023,10,3,6,4,0,8,0,2,0,0,33,1.81,Contaminación moderada,,52,Aguas moderadamente contaminadas,3
459,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,05/10/2023,6,9,3,8,5,0,9,0,2,0,42,1.84,Contaminación moderada,,46,Aguas moderadamente contaminadas,3
460,RIO UPANO,-2.130084284,-72.12424478,P1,05/10/2023,0,5,9,5,1,0,2,0,0,0,22,1.55,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
461,RIO UPANO,-2.328764298,-72.11299062,P2,05/10/2023,1,9,15,11,0,0,0,0,0,0,36,1.95,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
462,RIO UPANO,-2.231774521,-72.09417639,P3,05/10/2023,18,8,1,1,2,3,0,0,0,0,33,1.83,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
463,RIO BLANCO,-2.337242044,-72.17639222,P1,05/10/2023,0,6,3,9,8,2,3,0,0,0,31,1.66,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
464,RIO BLANCO,-2.357768293,-72.15378234,P2,06/10/2023,9,9,0,5,3,0,1,0,3,0,30,1.79,Contaminación moderada,,48,Aguas moderadamente contaminadas,3
465,RIO YUQUIPA,-2.22436146,-77.8968613,P1,06/10/2023,12,7,12,12,0,0,0,0,0,0,43,1.71,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
466,RIO YUQUIPA,-2.235277876,-77.97472254,P2,06/10/2023,4,14,0,4,9,0,1,0,2,0,34,1.83,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
467,RIO YUQUIPA,-2.399194329,-72.1287497,P3,07/10/2023,16,8,9,16,0,1,3,0,0,0,53,2.26,Contaminación moderada,,85,Aguas ligeramente contaminadas,2
468,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,08/10/2023,9,9,8,4,3,0,0,0,0,0,33,1.86,Contaminación moderada,,58,Aguas moderadamente contaminadas,3
469,RIO KALAGLAS,-3.16994425,-72.55855563,P1,08/10/2023,8,13,8,8,0,0,0,0,0,0,37,1.86,Contaminación moderada,,70,Aguas ligeramente contaminadas,2
470,RIO KALAGLAS,-3.220472257,-72.56086149,P2,09/10/2023,7,9,15,0,0,0,0,0,0,0,31,1.38,Contaminación moderada,,45,Aguas moderadamente contaminadas,3
471,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,09/10/2023,12,6,4,6,0,8,0,0,0,0,36,1.73,Contaminación moderada,,49,Aguas moderadamente contaminadas,3
472,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/04/2018,11,9,0,11,0,0,1,0,0,0,32,1.77,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
473,RIO UPANO,-2.130084284,-72.12424478,P1,06/04/2018,10,6,4,3,8,0,0,0,0,0,31,1.63,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
474,RIO UPANO,-2.328764298,-72.11299062,P2,06/04/2018,7,2,0,3,5,6,0,4,0,0,27,1.82,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
475,RIO UPANO,-2.231774521,-72.09417639,P3,06/04/2018,11,3,0,9,0,8,0,0,0,0,31,1.47,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
476,RIO BLANCO,-2.337242044,-72.17639222,P1,06/04/2018,19,11,0,3,0,0,0,0,0,0,33,1.77,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
477,RIO BLANCO,-2.357768293,-72.15378234,P2,07/04/2018,11,5,31,0,0,0,0,0,0,0,47,1.61,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
478,RIO YUQUIPA,-2.22436146,-77.8968613,P1,07/04/2018,20,0,17,1,3,0,0,0,0,0,41,1.8,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
479,RIO YUQUIPA,-2.235277876,-77.97472254,P2,07/04/2018,15,13,0,4,3,2,0,0,0,0,37,1.84,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
480,RIO YUQUIPA,-2.399194329,-72.1287497,P3,08/04/2018,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
481,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,09/04/2018,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
482,RIO KALAGLAS,-3.16994425,-72.55855563,P1,09/04/2018,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
483,RIO KALAGLAS,-3.220472257,-72.56086149,P2,10/04/2018,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
484,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,10/04/2018,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
485,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/09/2018,12,6,4,6,0,8,0,0,0,0,36,1.73,Contaminación moderada,,49,Aguas moderadamente contaminadas,3
486,RIO UPANO,-2.130084284,-72.12424478,P1,06/09/2018,11,9,0,11,0,0,1,0,0,0,32,1.77,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
487,RIO UPANO,-2.328764298,-72.11299062,P2,06/09/2018,10,6,4,3,8,0,0,0,0,0,31,1.63,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
488,RIO UPANO,-2.231774521,-72.09417639,P3,06/09/2018,7,2,0,3,5,6,0,4,0,0,27,1.82,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
489,RIO BLANCO,-2.337242044,-72.17639222,P1,06/09/2018,11,3,0,9,0,8,0,0,0,0,31,1.47,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
490,RIO BLANCO,-2.357768293,-72.15378234,P2,07/09/2018,19,11,0,3,0,0,0,0,0,0,33,1.77,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
491,RIO YUQUIPA,-2.22436146,-77.8968613,P1,07/09/2018,11,5,31,0,0,0,0,0,0,0,47,1.61,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
492,RIO YUQUIPA,-2.235277876,-77.97472254,P2,07/09/2018,20,0,17,1,3,0,0,0,0,0,41,1.8,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
493,RIO YUQUIPA,-2.399194329,-72.1287497,P3,08/09/2018,15,13,0,4,3,2,0,0,0,0,37,1.84,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
494,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,09/09/2018,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
495,RIO KALAGLAS,-3.16994425,-72.55855563,P1,09/09/2018,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
496,RIO KALAGLAS,-3.220472257,-72.56086149,P2,10/09/2018,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
497,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,10/09/2018,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
498,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/12/2018,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
499,RIO UPANO,-2.130084284,-72.12424478,P1,06/12/2018,8,9,0,5,3,4,0,0,0,0,29,1.53,Contaminación moderada,,37,Aguas moderadamente contaminadas,3
500,RIO UPANO,-2.328764298,-72.11299062,P2,06/12/2018,7,0,9,0,0,11,0,0,0,0,27,1.19,Contaminación moderada,,33,Aguas muy contaminadas,4
501,RIO UPANO,-2.231774521,-72.09417639,P3,06/12/2018,0,15,12,3,0,1,0,0,0,0,31,1.38,Contaminación moderada,,38,Aguas moderadamente contaminadas,3
502,RIO BLANCO,-2.337242044,-72.17639222,P1,06/12/2018,15,25,0,3,0,1,0,1,0,0,45,1.65,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
503,RIO BLANCO,-2.357768293,-72.15378234,P2,07/12/2018,11,6,8,3,9,0,0,0,0,0,37,1.68,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
504,RIO YUQUIPA,-2.22436146,-77.8968613,P1,07/12/2018,14,3,4,4,5,0,0,0,0,0,30,1.86,Contaminación moderada,,64,Aguas ligeramente contaminadas,2
505,RIO YUQUIPA,-2.235277876,-77.97472254,P2,07/12/2018,9,0,8,6,8,6,0,5,0,0,42,1.77,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
506,RIO YUQUIPA,-2.399194329,-72.1287497,P3,08/12/2018,4,14,0,4,9,0,1,0,2,0,34,1.83,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
507,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,09/12/2018,16,8,9,16,0,1,3,0,0,0,53,2.26,Contaminación moderada,,85,Aguas ligeramente contaminadas,2
508,RIO KALAGLAS,-3.16994425,-72.55855563,P1,09/12/2018,9,9,8,4,3,0,0,0,0,0,33,1.86,Contaminación moderada,,58,Aguas moderadamente contaminadas,3
509,RIO KALAGLAS,-3.220472257,-72.56086149,P2,10/12/2018,8,13,8,8,0,0,0,0,0,0,37,1.86,Contaminación moderada,,70,Aguas ligeramente contaminadas,2
510,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,10/12/2018,7,9,15,0,0,0,0,0,0,0,31,1.38,Contaminación moderada,,45,Aguas moderadamente contaminadas,3
511,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/04/2019,12,6,4,6,0,8,0,0,0,0,36,1.73,Contaminación moderada,,49,Aguas moderadamente contaminadas,3
512,RIO UPANO,-2.130084284,-72.12424478,P1,06/04/2019,11,9,0,11,0,0,1,0,0,0,32,1.77,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
513,RIO UPANO,-2.328764298,-72.11299062,P2,06/04/2019,10,6,4,3,8,0,0,0,0,0,31,1.63,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
514,RIO UPANO,-2.231774521,-72.09417639,P3,06/04/2019,7,2,0,3,5,6,0,4,0,0,27,1.82,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
515,RIO BLANCO,-2.337242044,-72.17639222,P1,06/04/2019,11,3,0,9,0,8,0,0,0,0,31,1.47,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
516,RIO BLANCO,-2.357768293,-72.15378234,P2,08/04/2019,19,11,0,3,0,0,0,0,0,0,33,1.77,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
517,RIO YUQUIPA,-2.22436146,-77.8968613,P1,07/04/2019,11,5,31,0,0,0,0,0,0,0,47,1.61,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
518,RIO YUQUIPA,-2.235277876,-77.97472254,P2,07/04/2019,20,0,17,1,3,0,0,0,0,0,41,1.8,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
519,RIO YUQUIPA,-2.399194329,-72.1287497,P3,08/04/2019,15,13,0,4,3,2,0,0,0,0,37,1.84,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
520,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,10/04/2019,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
521,RIO KALAGLAS,-3.16994425,-72.55855563,P1,09/04/2019,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
522,RIO KALAGLAS,-3.220472257,-72.56086149,P2,10/04/2019,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
523,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,10/04/2019,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
524,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/09/2019,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
525,RIO UPANO,-2.130084284,-72.12424478,P1,06/09/2019,8,9,0,5,3,4,0,0,0,0,29,1.53,Contaminación moderada,,37,Aguas moderadamente contaminadas,3
526,RIO UPANO,-2.328764298,-72.11299062,P2,06/09/2019,7,0,9,0,0,11,0,0,0,0,27,1.19,Contaminación moderada,,33,Aguas muy contaminadas,4
527,RIO UPANO,-2.231774521,-72.09417639,P3,06/09/2019,0,15,12,3,0,1,0,0,0,0,31,1.38,Contaminación moderada,,38,Aguas moderadamente contaminadas,3
528,RIO BLANCO,-2.337242044,-72.17639222,P1,06/09/2019,15,25,0,3,0,1,0,1,0,0,45,1.65,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
529,RIO BLANCO,-2.357768293,-72.15378234,P2,08/09/2019,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
530,RIO YUQUIPA,-2.22436146,-77.8968613,P1,07/09/2019,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
531,RIO YUQUIPA,-2.235277876,-77.97472254,P2,07/09/2019,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
532,RIO YUQUIPA,-2.399194329,-72.1287497,P3,08/09/2019,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
533,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,10/09/2019,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
534,RIO KALAGLAS,-3.16994425,-72.55855563,P1,09/09/2019,8,9,0,5,3,4,0,0,0,0,29,1.53,Contaminación moderada,,37,Aguas moderadamente contaminadas,3
535,RIO KALAGLAS,-3.220472257,-72.56086149,P2,10/09/2019,7,0,9,0,0,11,0,0,0,0,27,1.19,Contaminación moderada,,33,Aguas muy contaminadas,4
536,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,10/09/2019,0,15,12,3,0,1,0,0,0,0,31,1.38,Contaminación moderada,,38,Aguas moderadamente contaminadas,3
537,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/12/2019,15,25,0,3,0,1,0,1,0,0,45,1.65,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
538,RIO UPANO,-2.130084284,-72.12424478,P1,06/12/2019,11,6,8,3,9,0,0,0,0,0,37,1.68,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
539,RIO UPANO,-2.328764298,-72.11299062,P2,06/12/2019,14,3,4,4,5,0,0,0,0,0,30,1.86,Contaminación moderada,,64,Aguas ligeramente contaminadas,2
540,RIO UPANO,-2.231774521,-72.09417639,P3,06/12/2019,9,0,8,6,8,6,0,5,0,0,42,1.77,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
541,RIO BLANCO,-2.337242044,-72.17639222,P1,06/12/2019,1,6,4,14,6,0,0,0,0,0,31,1.66,Contaminación moderada,,47,Aguas moderadamente contaminadas,3
542,RIO BLANCO,-2.357768293,-72.15378234,P2,08/12/2019,14,9,8,13,0,5,0,0,0,0,49,1.93,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
543,RIO YUQUIPA,-2.22436146,-77.8968613,P1,07/12/2019,12,8,5,11,0,0,0,0,0,0,36,1.72,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
544,RIO YUQUIPA,-2.235277876,-77.97472254,P2,07/12/2019,0,8,9,7,0,6,0,2,0,0,32,1.52,Contaminación moderada,,32,Aguas muy contaminadas,4
545,RIO YUQUIPA,-2.399194329,-72.1287497,P3,08/12/2019,0,9,8,7,2,5,0,0,0,0,31,1.67,Contaminación moderada,,42,Aguas moderadamente contaminadas,3
546,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,09/12/2019,9,9,13,3,3,1,0,0,0,0,38,1.82,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
547,RIO KALAGLAS,-3.16994425,-72.55855563,P1,09/12/2019,21,0,0,13,0,3,0,0,0,0,37,1.93,Contaminación moderada,,66,Aguas ligeramente contaminadas,2
548,RIO KALAGLAS,-3.220472257,-72.56086149,P2,10/12/2019,10,3,6,4,0,8,0,2,0,0,33,1.81,Contaminación moderada,,52,Aguas moderadamente contaminadas,3
549,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,10/12/2019,6,9,3,8,5,0,9,0,2,0,42,1.84,Contaminación moderada,,46,Aguas moderadamente contaminadas,3
550,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/04/2020,0,5,9,5,1,0,2,0,0,0,22,1.55,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
551,RIO UPANO,-2.130084284,-72.12424478,P1,06/04/2020,1,9,15,11,0,0,0,0,0,0,36,1.95,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
552,RIO UPANO,-2.328764298,-72.11299062,P2,06/04/2020,18,8,1,1,2,3,0,0,0,0,33,1.83,Contaminación moderada,,65,Aguas ligeramente contaminadas,2
553,RIO UPANO,-2.231774521,-72.09417639,P3,06/04/2020,0,6,3,9,8,2,3,0,0,0,31,1.66,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
554,RIO BLANCO,-2.337242044,-72.17639222,P1,06/04/2020,9,9,0,5,3,0,1,0,3,0,30,1.79,Contaminación moderada,,48,Aguas moderadamente contaminadas,3
555,RIO BLANCO,-2.357768293,-72.15378234,P2,09/04/2020,12,7,12,12,0,0,0,0,0,0,43,1.71,Contaminación moderada,,51,Aguas moderadamente contaminadas,3
556,RIO YUQUIPA,-2.22436146,-77.8968613,P1,07/04/2020,4,14,0,4,9,0,1,0,2,0,34,1.83,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
557,RIO YUQUIPA,-2.235277876,-77.97472254,P2,07/04/2020,16,8,9,16,0,1,3,0,0,0,53,2.26,Contaminación moderada,,85,Aguas ligeramente contaminadas,2
558,RIO YUQUIPA,-2.399194329,-72.1287497,P3,08/04/2020,9,9,8,4,3,0,0,0,0,0,33,1.86,Contaminación moderada,,58,Aguas moderadamente contaminadas,3
559,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,11/04/2020,8,13,8,8,0,0,0,0,0,0,37,1.86,Contaminación moderada,,70,Aguas ligeramente contaminadas,2
560,RIO KALAGLAS,-3.16994425,-72.55855563,P1,09/04/2020,7,9,15,0,0,0,0,0,0,0,31,1.38,Contaminación moderada,,45,Aguas moderadamente contaminadas,3
561,RIO KALAGLAS,-3.220472257,-72.56086149,P2,10/04/2020,12,6,4,6,0,8,0,0,0,0,36,1.73,Contaminación moderada,,49,Aguas moderadamente contaminadas,3
562,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,10/04/2020,11,9,0,11,0,0,1,0,0,0,32,1.77,Contaminación moderada,,57,Aguas moderadamente contaminadas,3
563,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/09/2020,10,6,4,3,8,0,0,0,0,0,31,1.63,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
564,RIO UPANO,-2.130084284,-72.12424478,P1,06/09/2020,7,2,0,3,5,6,0,4,0,0,27,1.82,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
565,RIO UPANO,-2.328764298,-72.11299062,P2,06/09/2020,11,3,0,9,0,8,0,0,0,0,31,1.47,Contaminación moderada,,41,Aguas moderadamente contaminadas,3
566,RIO UPANO,-2.231774521,-72.09417639,P3,06/09/2020,19,11,0,3,0,0,0,0,0,0,33,1.77,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
567,RIO BLANCO,-2.337242044,-72.17639222,P1,06/09/2020,11,5,31,0,0,0,0,0,0,0,47,1.61,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
568,RIO BLANCO,-2.357768293,-72.15378234,P2,09/09/2020,20,0,17,1,3,0,0,0,0,0,41,1.8,Contaminación moderada,,59,Aguas moderadamente contaminadas,3
569,RIO YUQUIPA,-2.22436146,-77.8968613,P1,07/09/2020,15,13,0,4,3,2,0,0,0,0,37,1.84,Contaminación moderada,,56,Aguas moderadamente contaminadas,3
570,RIO YUQUIPA,-2.235277876,-77.97472254,P2,07/09/2020,18,11,0,13,0,0,0,0,0,0,42,1.87,Contaminación moderada,,62,Aguas ligeramente contaminadas,2
571,RIO YUQUIPA,-2.399194329,-72.1287497,P3,08/09/2020,12,7,5,4,0,6,1,0,0,0,35,1.81,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
572,RIO PAN DE AZÚCAR,-3.106277981,-72.52513873,P1,11/09/2020,0,0,6,9,7,0,3,4,0,0,29,1.54,Contaminación moderada,,28,Aguas muy contaminadas,4
573,RIO KALAGLAS,-3.16994425,-72.55855563,P1,09/09/2020,2,6,9,4,0,3,0,0,0,0,24,1.48,Contaminación moderada,,39,Aguas moderadamente contaminadas,3
574,RIO KALAGLAS,-3.220472257,-72.56086149,P2,10/09/2020,14,9,5,5,4,0,0,0,0,0,37,1.75,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
575,RIO JURUMBAINO,-2.341250214,-72.13202757,P1,10/09/2020,8,9,0,5,3,4,0,0,0,0,29,1.53,Contaminación moderada,,37,Aguas moderadamente contaminadas,3
576,RIO JURUMBAINO,-2.268721819,-72.14844466,P2,06/12/2020,7,0,9,0,0,11,0,0,0,0,27,1.19,Contaminación moderada,,33,Aguas muy contaminadas,4
577,RIO UPANO,-2.130084284,-72.12424478,P1,06/12/2020,0,15,12,3,0,1,0,0,0,0,31,1.38,Contaminación moderada,,38,Aguas moderadamente contaminadas,3
578,RIO UPANO,-2.328764298,-72.11299062,P2,06/12/2020,15,25,0,3,0,1,0,1,0,0,45,1.65,Contaminación moderada,,53,Aguas moderadamente contaminadas,3
579,RIO UPANO,-2.231774521,-72.09417639,P3,06/12/2020,11,6,8,3,9,0,0,0,0,0,37,1.68,Contaminación moderada,,50,Aguas moderadamente contaminadas,3
