ID,RIO,COORD- X,COORD- Y,PUNTO,FECHA,FECHA,Temperatura,Ph,Oxigeno disuelto,Solidos_Totales,Nitratos,Fosfatos,Turbiedad,DBO5,Coliformes fecales,CALIDAD AGUA NSF,Clasificacion ,Clasificar
528,RIO BLANCO,-2.337242044,-78.17639222,P1,2019//09/06,2019//09/06,16.08,6.93,7.22,46.02,3.3,0.28,9.1,3.43,1746,58.69,Regular,2
529,RIO BLANCO,-2.357768293,-78.15378234,P2,2019//09/08,2019//09/08,21.87,6.4,7.58,65.99,4.82,0.61,5.5,5.71,1378,65.45,Regular,2
530,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2019//09/07,2019//09/07,17.23,6.26,6.28,53.56,2.84,0.34,0.58,7.75,1887,58.63,Regular,2
531,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2019//09/07,2019//09/07,18.33,6.95,5.64,97.12,2.91,0.48,2.46,12,1538,56.79,Regular,2
532,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2019//09/08,2019//09/08,18.26,5.14,5.3,67.63,5.48,0.25,0.99,3.01,2792,54.76,Regular,2
533,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2019//09/10,2019//09/10,16.91,6.66,6.37,47.81,2.44,0.99,5.48,9.87,1082,63.13,Regular,2
534,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2019//09/09,2019//09/09,18.86,6.16,5.86,59.26,6.34,0.77,4.88,10.74,2850,66.46,Regular,2
535,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2019//09/10,2019//09/10,17.69,6.97,7.28,62.87,3.06,0.96,4.98,5.54,1970,55.28,Regular,2
536,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2019//09/10,2019//09/10,21.28,6.37,7.84,45.21,4.34,0.79,5.89,11.13,2964,62.74,Regular,2
537,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2019//12/06,2019//12/06,18.83,7.94,7.74,41.14,5.12,0.82,8.89,8.76,2932,54.81,Regular,2
538,RIO UPANO,-2.130084284,-78.12424478,P1,2019//12/06,2019//12/06,20.53,5.64,5.09,57.66,5.41,0.13,6.09,11.2,833,59.05,Regular,2
539,RIO UPANO,-2.328764298,-78.11299062,P2,2019//12/06,2019//12/06,16.09,7.47,7.66,96.47,5.57,0.42,7.1,2.06,1424,68.97,Regular,2
540,RIO UPANO,-2.231774521,-78.09417639,P3,2019//12/06,2019//12/06,17.18,6.7,7.39,86.95,5.06,0.75,7.5,4.44,1688,60.33,Regular,2
541,RIO BLANCO,-2.337242044,-78.17639222,P1,2019//12/06,2019//12/06,19.9,6.38,7.05,69.32,5.65,0.09,6.49,11.6,2035,51.1,Regular,2
542,RIO BLANCO,-2.357768293,-78.15378234,P2,2019//12/08,2019//12/08,17.88,5.33,6.5,77.36,6.11,0.28,7.56,1.3,807,51.4,Regular,2
543,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2019//12/07,2019//12/07,19.06,6.92,5.88,55.31,2.38,0.09,3.44,4.82,670,63.57,Regular,2
544,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2019//12/07,2019//12/07,21.48,7.2,7.2,32.56,6.69,0.5,7.16,6.67,919,50.26,Regular,2
545,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2019//12/08,2019//12/08,17.1,7.2,6.48,72.22,2.77,0.08,5.05,6.81,1433,51.66,Regular,2
546,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2019//12/09,2019//12/09,17.98,7.56,6.47,52.51,2.29,0.47,3.31,2.16,2260,56.04,Regular,2
547,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2019//12/09,2019//12/09,20.37,6.48,5.75,92.07,4.42,0.92,3.96,4.57,1458,54.62,Regular,2
548,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2019//12/10,2019//12/10,21.34,6.2,6.8,38.12,3.74,0.65,3.05,6.13,1943,63.57,Regular,2
549,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2019//12/10,2019//12/10,21.64,6.98,5.28,66.72,5.77,0.86,5.15,1.38,2716,63.74,Regular,2
550,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2020//04/06,2020//04/06,21.36,6.52,5.7,93.32,6.6,0.28,8.3,3.25,1768,66.58,Regular,2
551,RIO UPANO,-2.130084284,-78.12424478,P1,2020//04/06,2020//04/06,20.53,6.77,7.53,97.03,2.01,0.16,9.95,10.4,1710,50.36,Regular,2
552,RIO UPANO,-2.328764298,-78.11299062,P2,2020//04/06,2020//04/06,17.76,7.28,6.08,33.56,4.79,0.62,2.01,5.75,516,62.74,Regular,2
553,RIO UPANO,-2.231774521,-78.09417639,P3,2020//04/06,2020//04/06,20.85,5.01,7.25,38.93,4.88,0.38,3.67,7.12,1703,50.62,Regular,2
554,RIO BLANCO,-2.337242044,-78.17639222,P1,2020//04/06,2020//04/06,21.15,6.61,6.7,83.81,4.71,0.34,9.97,10.74,623,50.65,Regular,2
555,RIO BLANCO,-2.357768293,-78.15378234,P2,2020//04/09,2020//04/09,16.62,5.52,6.72,98.04,3.8,0.01,9.86,4.62,1449,53.6,Regular,2
556,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2020//04/07,2020//04/07,17.45,6.86,5.04,64.56,6.74,0.17,2.16,3.78,1608,54.43,Regular,2
557,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2020//04/07,2020//04/07,20.48,5.71,6.82,79.37,6.97,0.41,9.69,2.88,2239,54.02,Regular,2
558,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2020//04/08,2020//04/08,21.57,5.93,7.47,96.08,6.14,0.25,6.35,11.32,2510,56.63,Regular,2
559,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2020//04/11,2020//04/11,16.54,5.22,5.95,96.09,5.88,0.36,3.5,1.58,1895,57.91,Regular,2
560,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2020//04/09,2020//04/09,21.12,5.83,5.61,49.55,4.42,0.3,6.14,10.92,2187,54.23,Regular,2
561,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2020//04/10,2020//04/10,21.8,7.93,5.04,36.34,3.01,0.56,9.67,11.43,799,52.09,Regular,2
562,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2020//04/10,2020//04/10,19.33,7.81,7.48,83.89,3.57,0.22,4.2,10.38,827,58.95,Regular,2
563,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2020//09/06,2020//09/06,16.81,5.38,6.56,92.03,6.15,0.77,5.88,8.64,541,61.25,Regular,2
564,RIO UPANO,-2.130084284,-78.12424478,P1,2020//09/06,2020//09/06,21.39,5.75,7.12,94.12,5.55,0.09,1.62,7.61,1299,51.74,Regular,2
565,RIO UPANO,-2.328764298,-78.11299062,P2,2020//09/06,2020//09/06,19.13,6.53,6.05,92.12,5.41,0.11,5.25,4.61,2830,56.77,Regular,2
566,RIO UPANO,-2.231774521,-78.09417639,P3,2020//09/06,2020//09/06,19.99,7.09,6.11,50.53,4.37,0.68,1.63,4.96,955,50.76,Regular,2
567,RIO BLANCO,-2.337242044,-78.17639222,P1,2020//09/06,2020//09/06,21.28,6.26,5.98,31.51,5.36,0.64,4.2,10.53,2925,62.36,Regular,2
568,RIO BLANCO,-2.357768293,-78.15378234,P2,2020//09/09,2020//09/09,17.34,5.22,6.03,44.84,6.7,0.87,4.83,10.73,512,60.76,Regular,2
569,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2020//09/07,2020//09/07,16.63,5.09,7.73,51.15,6.29,0.81,7.17,1.55,1359,61.2,Regular,2
570,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2020//09/07,2020//09/07,19.83,5.96,7.68,93.3,3.01,0.66,8.2,2.66,1488,57.16,Regular,2
571,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2020//09/08,2020//09/08,16.45,7.26,5.34,84.1,4.32,0.05,8.13,11.01,1609,58.37,Regular,2
572,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2020//09/11,2020//09/11,20.68,7.53,5.12,98.19,6.02,0.2,0.66,9.5,2712,66.36,Regular,2
573,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2020//09/09,2020//09/09,20.58,6.54,6.55,92.73,4.11,0.74,3.87,3.13,2579,66.82,Regular,2
574,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2020//09/10,2020//09/10,16.9,7.06,6.11,98.7,2.71,0.28,4.77,1.67,1251,64.35,Regular,2
575,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2020//09/10,2020//09/10,16.83,7.89,5.29,30.94,2.97,0.05,6.03,3.29,1075,62.52,Regular,2
576,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2020//12/06,2020//12/06,18.57,7.44,6.48,34.52,6.69,0.28,0.73,7.65,1120,54.91,Regular,2
577,RIO UPANO,-2.130084284,-78.12424478,P1,2020//12/06,2020//12/06,19.12,5.9,7.18,59.97,2.78,0.73,5.45,6.04,2177,53.81,Regular,2
578,RIO UPANO,-2.328764298,-78.11299062,P2,2020//12/06,2020//12/06,17.33,6.89,5.89,57.43,3.36,0.55,5.93,4.43,1433,50.68,Regular,2
579,RIO UPANO,-2.231774521,-78.09417639,P3,2020//12/06,2020//12/06,16.57,5.93,7.93,60.84,5.75,0.29,8.3,4.89,1713,53.45,Regular,2
580,RIO BLANCO,-2.337242044,-78.17639222,P1,2020//12/06,2020//12/06,21.03,6.15,7.59,70.57,3.84,0.55,4.85,5.11,2689,55.65,Regular,2
581,RIO BLANCO,-2.357768293,-78.15378234,P2,2020//12/09,2020//12/09,17.76,7.94,6.19,53.28,4.28,0.72,3.55,2.05,915,57.72,Regular,2
582,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2020//12/07,2020//12/07,19.1,5.66,5.92,33.12,3.93,0.32,0.36,9.63,1185,51.7,Regular,2
583,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2020//12/07,2020//12/07,17.96,7.36,5.17,39.42,3.75,0.07,4.54,7.45,1001,53.65,Regular,2
584,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2020//12/08,2020//12/08,18.62,7.58,5.33,77.86,4.71,0.99,1.6,6.36,2087,65.32,Regular,2
585,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2020//12/09,2020//12/09,21.55,5.82,7.78,88.26,5.78,0.72,9.45,1.83,2447,51.67,Regular,2
586,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2020//12/09,2020//12/09,21.69,6.44,7.93,64.72,2.8,0.47,7.62,6.63,1501,64.35,Regular,2
587,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2020//12/10,2020//12/10,20.95,6.6,6.79,48.62,3.53,0.83,9.18,3.74,1726,65.02,Regular,2
588,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2020//12/10,2020//12/10,21.12,7.76,5.23,36.19,5.66,0.91,0.8,2.6,1352,65.44,Regular,2
589,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2021//04/07,2021//04/07,21.45,5.76,5.68,59.74,2.64,0.78,7.29,5.81,1163,67.16,Regular,2
590,RIO UPANO,-2.130084284,-78.12424478,P1,2021//04/07,2021//04/07,16.54,5.96,5.85,84.98,6.68,0.59,7.88,7.34,2110,67.6,Regular,2
591,RIO UPANO,-2.328764298,-78.11299062,P2,2021//04/07,2021//04/07,21.98,6.62,6.62,87.07,3.56,0.05,1.96,9.46,1975,58,Regular,2
592,RIO UPANO,-2.231774521,-78.09417639,P3,2021//04/06,2021//04/06,18.71,5.59,5.78,88.85,4.69,0.19,4.01,10.4,1257,60.36,Regular,2
593,RIO BLANCO,-2.337242044,-78.17639222,P1,2021//04/06,2021//04/06,20.65,7.23,5.91,66.9,2.58,0.06,4.39,7.06,916,52.93,Regular,2
594,RIO BLANCO,-2.357768293,-78.15378234,P2,2021//04/10,2021//04/10,17.68,5.7,5.19,66.74,4.59,0.47,1.99,4.76,1734,59.17,Regular,2
595,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2021//04/07,2021//04/07,16.39,7.07,6.88,44.46,5.11,0.98,2.46,9.22,2114,57.99,Regular,2
596,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2021//04/07,2021//04/07,19.86,6.6,6.78,34.17,4.41,0.82,9.83,11.21,615,52.94,Regular,2
597,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2021//04/08,2021//04/08,18.7,7.94,5.55,79.3,4.72,0.01,5.79,7.1,2679,65.42,Regular,2
598,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2021//04/12,2021//04/12,20.03,7.85,5.28,57.23,4.8,0.38,1.02,10.21,2077,66.84,Regular,2
599,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2021//04/09,2021//04/09,19.1,5.08,5.15,71.42,5.15,0.96,9.66,1.38,510,56.93,Regular,2
600,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2021//04/10,2021//04/10,17.78,7.74,5.16,78.55,4.93,0.51,2.81,4.19,2456,53.29,Regular,2
601,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2021//04/10,2021//04/10,16.2,5.43,6.78,78.94,3.39,0.48,8.78,9.94,2676,65.26,Regular,2
602,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2021//09/06,2021//09/06,21.3,6.81,7.96,91.19,2.66,0.37,6.04,8.28,1611,54.55,Regular,2
603,RIO UPANO,-2.130084284,-78.12424478,P1,2021//09/06,2021//09/06,21.53,7.96,6.94,48.53,3.98,0.54,4.63,6.28,1065,51.11,Regular,2
604,RIO UPANO,-2.328764298,-78.11299062,P2,2021//09/06,2021//09/06,21.6,7.67,7.85,42.85,6.87,0.12,3.96,6.26,503,60.83,Regular,2
605,RIO UPANO,-2.231774521,-78.09417639,P3,2021//09/06,2021//09/06,19.87,6.64,6.1,83.97,5.45,0.11,4.31,1.02,916,64.88,Regular,2
606,RIO BLANCO,-2.337242044,-78.17639222,P1,2021//09/06,2021//09/06,20.27,7.5,5.88,73.41,5.01,0.08,5.51,3.24,1379,63.94,Regular,2
607,RIO BLANCO,-2.357768293,-78.15378234,P2,2021//09/10,2021//09/10,20.36,7.41,6.94,91.82,5.68,0.2,5.77,6.35,2561,63.35,Regular,2
608,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2021//09/07,2021//09/07,16.8,7.09,7.7,97.44,2.45,0.1,1.36,7.58,2905,60.02,Regular,2
609,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2021//09/07,2021//09/07,18.73,7.78,7.35,91.78,3.38,0.56,3.52,9.06,1884,52.9,Regular,2
610,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2021//09/08,2021//09/08,21.36,5.14,5.77,64.53,5.56,0.3,4.41,9.77,755,68.69,Regular,2
611,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2021//09/12,2021//09/12,19.19,5.8,6.1,93.24,4.37,0.57,0.55,6.71,2885,57.62,Regular,2
612,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2021//09/09,2021//09/09,21.1,5.89,7.14,52.03,5.19,0.53,8.89,2.92,1612,53.95,Regular,2
613,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2021//09/10,2021//09/10,17.96,5.28,7.47,62.29,5.47,0.77,9.36,3.9,2796,52.64,Regular,2
614,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2021//09/10,2021//09/10,19.98,5.09,6.2,85.35,5.66,0.39,5.6,2.81,2363,67.67,Regular,2
615,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2021//12/06,2021//12/06,21.99,6.69,6.09,39.17,6.11,0.04,6.51,1.5,2700,68.19,Regular,2
616,RIO UPANO,-2.130084284,-78.12424478,P1,2021//12/06,2021//12/06,17.56,5.39,7.25,61.13,2.36,0.87,0.89,2.79,2093,59.92,Regular,2
617,RIO UPANO,-2.328764298,-78.11299062,P2,2021//12/06,2021//12/06,19.13,7.95,5.62,61.35,6.93,0.27,3.3,2.41,2824,56.74,Regular,2
618,RIO UPANO,-2.231774521,-78.09417639,P3,2021//12/06,2021//12/06,18.73,7.4,6.15,46.21,5.91,0.93,9.78,3.8,762,58.02,Regular,2
619,RIO BLANCO,-2.337242044,-78.17639222,P1,2021//12/06,2021//12/06,17.66,5.54,7.78,32.06,6.58,0.56,9.48,4.17,2428,51.49,Regular,2
620,RIO BLANCO,-2.357768293,-78.15378234,P2,2021//12/10,2021//12/10,17.94,7.3,5.34,78.33,5.42,0.47,0.66,1.38,1545,50.42,Regular,2
621,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2021//12/07,2021//12/07,16.82,6.27,7.25,31.7,5.28,0.01,8.77,8.23,2111,63.46,Regular,2
622,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2021//12/07,2021//12/07,20.41,5.21,7.85,47.49,5.1,0.85,5.82,10.83,1661,55.9,Regular,2
623,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2021//12/08,2021//12/08,17.75,6.14,6,65.99,5.58,0.02,6.91,6.53,2550,50.65,Regular,2
624,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2021//12/09,2021//12/09,19.28,7.57,5.61,81.76,5.85,0.77,1.48,6.87,2289,68.05,Regular,2
625,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2021//12/09,2021//12/09,17.11,7.96,5.34,74.24,2.7,0.02,8.15,8.46,1715,53.95,Regular,2
626,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2021//12/10,2021//12/10,20.45,5.59,7.46,91.83,3.52,0.67,6.92,4.27,1645,51.23,Regular,2
627,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2021//12/10,2021//12/10,17.81,5.18,5.1,80.47,6.88,0.87,1.22,4.25,1333,60.87,Regular,2
628,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2022//04/07,2022//04/07,19.64,5.34,6.79,87.82,2.99,0.2,4.89,6.98,1200,53.9,Regular,2
629,RIO UPANO,-2.130084284,-78.12424478,P1,2022//04/07,2022//04/07,21.82,5.35,7.83,80.87,6.75,0.18,2.42,5.84,1745,53.1,Regular,2
630,RIO UPANO,-2.328764298,-78.11299062,P2,2022//04/07,2022//04/07,18.37,5.21,7.05,98.69,4.07,0.68,8.8,9.64,1405,64.5,Regular,2
631,RIO UPANO,-2.231774521,-78.09417639,P3,2022//04/06,2022//04/06,19.83,6.31,6.83,69.63,2.18,0.13,7.24,2.75,2773,56.14,Regular,2
632,RIO BLANCO,-2.337242044,-78.17639222,P1,2022//04/06,2022//04/06,20.59,6.57,5.41,47.59,2.91,0.49,1.53,2.15,1191,59.26,Regular,2
633,RIO BLANCO,-2.357768293,-78.15378234,P2,2022//04/11,2022//04/11,19.42,6.75,7.49,89.38,4.23,0.95,5.52,1.45,892,66.22,Regular,2
634,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2022//04/07,2022//04/07,18.44,6.09,6.52,64.63,5.67,0.88,8,2.32,1099,57.98,Regular,2
635,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2022//04/07,2022//04/07,17.89,5.82,6.97,39.9,2.98,0.75,6.87,4.56,1376,68.25,Regular,2
636,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2022//04/08,2022//04/08,20.26,6.46,5.98,68.86,3.58,0.02,5.49,3.42,590,62.87,Regular,2
637,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2022//04/13,2022//04/13,17.95,5,5.36,45.4,6.89,0.57,3.68,1.43,1491,52.31,Regular,2
638,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2022//04/09,2022//04/09,18.75,5.85,5.82,84.54,3.7,0.16,7.1,5.68,1662,61.56,Regular,2
639,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2022//04/10,2022//04/10,16.33,6.81,5.94,88.02,6.85,0.01,9.92,1.84,1494,65.6,Regular,2
640,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2022//04/10,2022//04/10,20.29,6.17,6.57,47.05,6.74,0.67,9.07,4.67,983,59.84,Regular,2
641,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2022//09/06,2022//09/06,20.22,6.1,7.8,43.2,2.03,0.42,9.78,3.84,1782,61.55,Regular,2
642,RIO UPANO,-2.130084284,-78.12424478,P1,2022//09/06,2022//09/06,20.17,5.55,6.55,78.25,4.65,0.77,1.69,3.38,2268,61.34,Regular,2
643,RIO UPANO,-2.328764298,-78.11299062,P2,2022//09/06,2022//09/06,19.47,7.32,5.25,79.32,2.04,0.5,1.4,10.41,2141,66.31,Regular,2
644,RIO UPANO,-2.231774521,-78.09417639,P3,2022//09/06,2022//09/06,18.54,5.89,7.25,55.36,5.19,0.99,4.78,8.62,1805,60.91,Regular,2
645,RIO BLANCO,-2.337242044,-78.17639222,P1,2022//09/06,2022//09/06,17.38,7.94,6.96,55,4.67,0.76,0.76,9.33,2208,60.63,Regular,2
646,RIO BLANCO,-2.357768293,-78.15378234,P2,2022//09/11,2022//09/11,20.75,7.68,5.93,49.43,6.27,0.67,7.85,5.3,2962,50.82,Regular,2
647,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2022//09/07,2022//09/07,17.32,5.55,7.01,66.46,3.67,0.86,4.85,5.75,797,63,Regular,2
648,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2022//09/07,2022//09/07,17.88,6.3,7.62,84.18,2.35,0.51,5.08,3.7,591,67.64,Regular,2
649,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2022//09/08,2022//09/08,18.93,7.68,6.03,73.43,3.52,0.23,0.25,6.46,1811,51.71,Regular,2
650,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2022//09/13,2022//09/13,19.84,6.4,6.62,30.08,5.7,0.47,4.44,8.92,532,52.98,Regular,2
651,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2022//09/09,2022//09/09,16.65,7.03,6.26,86.38,6.54,0.83,8.65,3.8,2784,54.11,Regular,2
652,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2022//09/10,2022//09/10,20.49,5.36,5.63,77.81,5.52,0.51,8.17,10.39,1167,51.89,Regular,2
653,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2022//09/10,2022//09/10,18.07,7.53,6.25,73.12,6.17,0.69,8.19,2.22,2593,61.58,Regular,2
654,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2022//12/06,2022//12/06,18.35,6.58,5.07,63.73,5.57,0.25,0.74,6.51,751,68.52,Regular,2
655,RIO UPANO,-2.130084284,-78.12424478,P1,2022//12/06,2022//12/06,19.77,7.55,7.53,64.33,2.27,0.13,9.85,6.88,766,66.1,Regular,2
656,RIO UPANO,-2.328764298,-78.11299062,P2,2022//12/06,2022//12/06,16.41,8,6.24,91.23,5.42,0.84,8.12,1.01,1660,63.65,Regular,2
657,RIO UPANO,-2.231774521,-78.09417639,P3,2022//12/06,2022//12/06,17.49,5.2,5.13,71.29,6.22,0.29,8,8.38,2469,52.37,Regular,2
658,RIO BLANCO,-2.337242044,-78.17639222,P1,2022//12/06,2022//12/06,21.12,5.98,5.21,87.57,5.34,0.85,8.53,8.25,1723,56.32,Regular,2
659,RIO BLANCO,-2.357768293,-78.15378234,P2,2022//12/11,2022//12/11,21.91,7.41,6.71,61.1,3.49,0.79,8.85,4.55,2193,61.24,Regular,2
660,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2022//12/07,2022//12/07,17.04,6.95,5.33,42.21,3.02,0.51,6.22,4.71,1629,51.61,Regular,2
661,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2022//12/07,2022//12/07,17.83,6.68,7.33,84.31,2.9,0.72,9.75,10.31,773,60.18,Regular,2
662,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2022//12/08,2022//12/08,17.68,6.7,6.13,59.32,2.1,0.25,6.05,2.31,1243,57.93,Regular,2
663,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2022//12/09,2022//12/09,21.09,6.25,6.67,30.78,4.41,0.01,6.8,11.37,1140,52.69,Regular,2
664,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2022//12/09,2022//12/09,18.7,6.48,5.9,72.24,6.79,0.36,3.5,7.36,2825,61,Regular,2
665,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2022//12/10,2022//12/10,17.95,6.32,6.01,39.78,2.66,0.95,3.86,6.93,2619,54.79,Regular,2
666,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2022//12/11,2022//12/11,16.9,6.55,6,94.52,5.98,0.72,4.69,3.93,775,50.71,Regular,2
667,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2023//04/07,2023//04/07,17.89,7.03,5.28,30.63,3.83,0.71,8.36,11.8,1516,57.97,Regular,2
668,RIO UPANO,-2.130084284,-78.12424478,P1,2023//04/07,2023//04/07,20.24,5.33,7.02,90.06,6.17,0.06,6.2,2.9,1846,62.23,Regular,2
669,RIO UPANO,-2.328764298,-78.11299062,P2,2023//04/07,2023//04/07,16.6,5.68,6.38,68.71,3.74,0.18,1.22,7.96,1589,62.73,Regular,2
670,RIO UPANO,-2.231774521,-78.09417639,P3,2023//04/06,2023//04/06,21.67,5.86,5.97,79.79,3.59,0.62,2.21,10.62,1634,50.98,Regular,2
671,RIO BLANCO,-2.337242044,-78.17639222,P1,2023//04/06,2023//04/06,18.02,6.24,6.53,63.94,3.87,0.38,2.6,11.78,2052,62.4,Regular,2
672,RIO BLANCO,-2.357768293,-78.15378234,P2,2023//04/12,2023//04/12,19.52,7.25,5.52,90.81,3.32,0.95,8.79,6.46,823,65.13,Regular,2
673,RIO YUQUIPA,-2.229761638,-78.05790705,P1,2023//04/07,2023//04/07,21.91,5.65,6.91,42.52,2,0.56,3.42,2.7,724,62.53,Regular,2
674,RIO YUQUIPA,-2.422662433,-78.11635141,P2,2023//04/07,2023//04/07,16.76,5.96,7.17,69.44,2.47,0.23,6.84,7.7,1708,51.84,Regular,2
675,RIO YUQUIPA,-2.437366376,-78.12228671,P3,2023//04/08,2023//04/08,17.75,7.06,7.72,32.64,5.25,0.73,1.08,4.98,2290,64.12,Regular,2
676,RIO PAN DE AZÚCAR,-3.106277981,-78.52513873,P1,2023//04/14,2023//04/14,16.86,7.28,6.32,37.5,2.23,0.92,1.31,3.03,2886,60.57,Regular,2
677,RIO KALAGLAS,-3.16994425,-78.55855563,P1,2023//04/09,2023//04/09,17.04,7.24,6.6,62.89,6.54,0.78,0.16,3.19,1703,58.32,Regular,2
678,RIO KALAGLAS,-3.220472257,-78.56086149,P2,2023//04/10,2023//04/10,21.89,6.17,7.25,62.53,5.68,0.03,1.6,2.48,2779,65.56,Regular,2
679,RIO JURUMBAINO,-2.341250214,-78.13202757,P1,2023//04/10,2023//04/10,21.88,5.32,7.24,84.41,6.4,0.38,6.57,6.65,1221,50.9,Regular,2
680,RIO JURUMBAINO,-2.268721819,-78.14844466,P2,2023//09/06,2023//09/06,16.28,5.77,6.74,57.84,5.14,0.5,2.45,9.82,2561,54.05,Regular,2
681,RIO UPANO,-2.130084284,-78.12424478,P1,2023//09/06,2023//09/06,21.68,7.74,5.71,80.29,5.22,0.5,9.49,10.06,1518,60.79,Regular,2
682,RIO UPANO,-2.328764298,-78.11299062,P2,2023//09/06,2023//09/06,16.34,5.23,6.36,56.44,5.22,0.61,4.39,3.59,1237,52.58,Regular,2
683,RIO UPANO,-2.231774521,-78.09417639,P3,2023//09/06,2023//09/06,21.4,5.53,7.27,59.38,6.72,0.87,9.96,5.21,1304,62.47,Regular,2
684,RIO BLANCO,-2.337242044,-78.17639222,P1,2023//09/06,2023//09/06,21.61,6.21,6.03,46.88,3.62,0.4,7.83,10.59,2804,58.38,Regular,2
