ID,RIO,COORD- X,COORD- Y,PUNTO,FECHA,FECHA,Temperatura,Ph,Oxigeno disuelto,Solidos_Totales,Nitratos,Fosfatos,Turbiedad,DBO5,Coliformes fecales,CALIDAD AGUA NSF,Clasificacion ,Clasificar
36,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2019//10/01,2019//10/01,22.1,7.05,6.91,84.5,3.6,0.57,1.36,15.7,900,50.87,Regular,2
37,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2019//10/01,2019//10/01,19.9,7.4,7.56,94.9,6.1,0.23,1.74,16.1,600,55.5,Regular,2
38,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2019//10/01,2019//10/01,20.1,6.96,6.36,103.65,5.6,0.36,1.85,11.2,800,52.4,Regular,2
39,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2019//10/01,2019//10/01,20.6,6.85,6.89,168.56,3.7,0.86,1.61,16.2,700,48.91,Mala,3
40,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2019//10/01,2019//10/01,21.4,6.96,6.97,128.23,6.3,0.69,0.85,14.8,700,49.08,Mala,3
41,RIO HUASAGA,-2.717752305,-77.0210032,P1,2019//09/05,2019//09/05,21.9,6.56,7.89,95.8,4.9,0.63,0.93,15.4,600,50.52,Regular,2
42,RIO HUASAGA,-2.671703638,-77.08952686,P2,2019//09/05,2019//09/05,21.5,7.2,7.36,63.19,4.8,0.86,0.85,14.2,600,51.12,Regular,2
43,RIO HUASAGA,-2.63919923,-77.15375553,P3,2019//09/05,2019//09/05,19.3,7.5,6.89,64.23,2.6,0.87,0.79,12.6,600,53.88,Regular,2
44,RIO HUASAGA,-2.575119785,-77.17003232,P4,2019//09/05,2019//09/05,19.6,7.04,7.8,63.59,3.9,0.28,0.89,16.1,800,55.62,Regular,2
45,RIO HUASAGA,-2.524143278,-77.18293496,P5,2019//09/05,2019//09/05,20.5,7.01,6.61,89.5,3.5,0.75,0.56,15.5,600,50.62,Regular,2
46,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2019//11/05,2019//11/05,19.3,6.69,6.96,93.56,6.1,0.56,1.96,14.2,800,50.29,Regular,2
47,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2019//11/05,2019//11/05,19.2,6.68,7.65,100.05,5.8,0.36,1.87,13.5,900,52.61,Regular,2
48,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2019//11/05,2019//11/05,19.8,6.96,7.56,92.5,5.7,0.95,1.46,12.2,600,41.36,Mala,3
49,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2019//11/05,2019//11/05,20.2,6.99,7.61,63.2,5.6,0.19,2.66,14.1,600,56.22,Regular,2
50,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2019//11/05,2019//11/05,21.2,6.89,7.25,69.01,4.9,0.98,1.84,12.8,600,50.79,Regular,2
51,RIO HUASAGA,-2.717752305,-77.0210032,P1,2019//04/09,2019//04/09,19.5,7.02,6.92,46.52,3.5,0.87,1.63,13.1,700,52.56,Regular,2
52,RIO HUASAGA,-2.671703638,-77.08952686,P2,2019//04/09,2019//04/09,19.6,6.56,6.36,59.8,2.9,0.74,1.35,13.6,800,50.86,Regular,2
53,RIO HUASAGA,-2.63919923,-77.15375553,P3,2019//04/09,2019//04/09,19.9,7.3,6.82,68.69,3.5,0.63,2.41,12.6,800,53.86,Regular,2
54,RIO HUASAGA,-2.575119785,-77.17003232,P4,2019//04/09,2019//04/09,20.1,7.02,6.48,98.43,6.8,0.59,2.85,16.2,500,48.56,Mala,3
55,RIO HUASAGA,-2.524143278,-77.18293496,P5,2019//04/09,2019//04/09,20.5,7.06,7.94,45.7,3.4,0.84,3.25,11.2,900,53.22,Regular,2
56,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2019//07/09,2019//07/09,21.1,7.05,7.69,95.05,3.8,0.63,2.45,14.6,1200,51.02,Regular,2
57,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2019//07/09,2019//07/09,21.5,7.56,6.28,100.07,4.9,0.58,1.63,15.9,1100,48.5,Mala,3
58,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2019//07/09,2019//07/09,19.7,6.69,7.8,116.89,5.2,0.69,0.95,14.8,600,51.84,Regular,2
59,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2019//07/09,2019//07/09,19.9,6.96,6.89,98.94,6.2,0.67,0.89,14.4,800,50.45,Regular,2
60,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2019//07/09,2019//07/09,19.6,6.87,6.8,96.31,3.5,0.69,1.24,13.2,600,41.08,Mala,3
61,RIO HUASAGA,-2.717752305,-77.0210032,P1,2020//08/01,2020//08/01,21.7,6.9,9.12,94.9,5.8,0.28,0.79,16.2,900,52.33,Regular,2
62,RIO HUASAGA,-2.671703638,-77.08952686,P2,2020//08/01,2020//08/01,21.3,6.6,9.33,103.65,3.4,0.75,0.76,15.9,600,50.95,Regular,2
63,RIO HUASAGA,-2.63919923,-77.15375553,P3,2020//08/01,2020//08/01,19.6,6.72,8.17,168.56,5.2,0.56,0.81,14.7,600,52.78,Regular,2
64,RIO HUASAGA,-2.575119785,-77.17003232,P4,2020//08/01,2020//08/01,19.8,7.45,8.63,128.23,2.9,0.36,0.91,12.9,600,58.42,Regular,2
65,RIO HUASAGA,-2.524143278,-77.18293496,P5,2020//08/01,2020//08/01,20.2,6.44,6.42,95.8,6.6,0.95,0.79,15.2,700,45.71,Mala,3
66,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2020//10/01,2020//10/01,19.7,6.7,7.85,63.19,4.9,0.19,2.6,11.6,800,58.39,Regular,2
67,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2020//10/01,2020//10/01,19.6,6,8.1,64.23,2.3,0.98,1.05,12.4,800,51.83,Regular,2
68,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2020//10/01,2020//10/01,19.5,6.4,6.33,63.59,3.6,0.87,1.85,15.8,500,49.18,Mala,3
69,RIO CHAPIZA,-2.714931297,-77.90954739,P4,2020//10/01,2020//10/01,20.4,6.8,7.1,89.5,4.8,0.74,0.36,16.1,2500,46.37,Mala,3
70,RIO CHAPIZA,-2.693626541,-77.96585626,P5,2020//10/01,2020//10/01,21.8,6.9,6.66,93.56,4.5,0.23,2.65,14.5,700,54.14,Regular,2
71,RIO HUASAGA,-2.717752305,-77.0210032,P1,2020//09/05,2020//09/05,19.3,7.1,6.16,100.05,4.9,0.59,1.7,11.3,1500,50.58,Regular,2
72,RIO HUASAGA,-2.671703638,-77.08952686,P2,2020//09/05,2020//09/05,19.9,7.4,6.19,92.5,6.1,0.69,3.59,11.9,700,51.06,Regular,2
73,RIO HUASAGA,-2.63919923,-77.15375553,P3,2020//09/05,2020//09/05,20.5,7,6.2,63.2,6.5,0.63,2.86,12.2,900,48.97,Mala,3
74,RIO HUASAGA,-2.575119785,-77.17003232,P4,2020//09/05,2020//09/05,20.8,7.2,7.15,69.01,6.8,0.96,1.69,16.1,600,47.82,Mala,3
75,RIO HUASAGA,-2.524143278,-77.18293496,P5,2020//09/05,2020//09/05,20.5,7,8.55,46.52,4.9,0.67,1.63,13.4,600,53.13,Regular,2
76,RIO CHAPIZA,-2.880025048,-77.89806561,P1,2020//11/05,2020//11/05,19.7,7.04,9.52,59.8,4.8,0.57,1.56,12.7,800,54.9,Regular,2
77,RIO CHAPIZA,-2.806998637,-77.89395636,P2,2020//11/05,2020//11/05,19.4,7.3,6.22,68.69,4.7,0.23,1.63,11.2,1000,54.69,Regular,2
78,RIO CHAPIZA,-2.765864358,-77.89432128,P3,2020//11/05,2020//11/05,21.4,6.76,7.6,83.9,5.8,0.36,1.03,11.8,1300,52.32,Regular,2
